signature_id	signature_label	dataset	condition_short	age_label	sex	collection	pathway	direction	a	b	c	d	odds_ratio	pval	padj	log2OR
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_COMPLEMENT	Up	0	11	186	12323	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_DNA_REPAIR	Up	0	11	149	12360	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_E2F_TARGETS	Up	1	10	198	12311	6.21522096	0.161646688	0.621718032	2.635805682
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Up	0	11	179	12330	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	Up	1	10	177	12332	6.963569407	0.145787713	0.621718032	2.799826996
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	Up	1	10	173	12336	7.12615208	0.142736214	0.621718032	2.833123272
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	Up	0	11	148	12361	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_G2M_CHECKPOINT	Up	0	11	197	12312	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_GLYCOLYSIS	Up	0	11	186	12323	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_HEDGEHOG_SIGNALING	Up	0	11	31	12478	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_HEME_METABOLISM	Up	1	10	188	12321	6.550967106	0.154128487	0.621718032	2.711707904
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_HYPOXIA	Up	1	10	185	12324	6.658781345	0.151861104	0.621718032	2.735258167
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_IL2_STAT5_SIGNALING	Up	0	11	190	12319	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	Up	0	11	84	12425	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_INFLAMMATORY_RESPONSE	Up	1	10	175	12334	7.043928014	0.1442632	0.621718032	2.816380165
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	Up	0	11	99	12410	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	Up	0	11	200	12309	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_KRAS_SIGNALING_DN	Up	0	11	113	12396	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_KRAS_SIGNALING_UP	Up	0	11	183	12326	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MITOTIC_SPINDLE	Up	0	11	199	12310	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MTORC1_SIGNALING	Up	2	9	193	12316	14.17391244	0.01210164	0.30254099	3.825166137
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MYC_TARGETS_V1	Up	0	11	195	12314	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MYC_TARGETS_V2	Up	1	10	56	12453	22.19438934	0.048974423	0.621718032	4.472123109
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MYOGENESIS	Up	0	11	173	12336	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_NOTCH_SIGNALING	Up	0	11	32	12477	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Up	1	10	184	12325	6.695500268	0.151104083	0.621718032	2.743191853
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_P53_PATHWAY	Up	0	11	190	12319	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PANCREAS_BETA_CELLS	Up	0	11	18	12491	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PEROXISOME	Up	0	11	91	12418	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Up	0	11	99	12410	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PROTEIN_SECRETION	Up	0	11	92	12417	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Up	0	11	48	12461	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_SPERMATOGENESIS	Up	0	11	85	12424	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_TGF_BETA_SIGNALING	Up	0	11	52	12457	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Up	0	11	190	12319	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Up	0	11	110	12399	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_UV_RESPONSE_DN	Up	1	10	139	12370	8.895597848	0.116395565	0.621718032	3.153091568
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_UV_RESPONSE_UP	Up	2	9	140	12369	19.60721649	0.006569739	0.30254099	4.293312835
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Up	0	11	39	12470	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_XENOBIOTIC_METABOLISM	Up	1	10	193	12316	6.378746094	0.157895215	0.621718032	2.673272853
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ADIPOGENESIS	Down	0	12	196	12312	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ALLOGRAFT_REJECTION	Down	0	12	185	12323	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ANDROGEN_RESPONSE	Down	0	12	97	12411	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ANGIOGENESIS	Down	0	12	35	12473	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_APICAL_JUNCTION	Down	1	11	175	12333	6.404091819	0.156303305	1	2.678993993
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_APICAL_SURFACE	Down	0	12	38	12470	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_APOPTOSIS	Down	0	12	155	12353	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_BILE_ACID_METABOLISM	Down	0	12	108	12400	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Down	0	12	75	12433	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_COAGULATION	Down	0	12	134	12374	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_COMPLEMENT	Down	0	12	186	12322	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_DNA_REPAIR	Down	0	12	149	12359	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_E2F_TARGETS	Down	0	12	199	12309	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Down	0	12	179	12329	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	Down	0	12	178	12330	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	Down	0	12	174	12334	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	Down	0	12	148	12360	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_G2M_CHECKPOINT	Down	0	12	197	12311	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_GLYCOLYSIS	Down	0	12	186	12322	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_HEDGEHOG_SIGNALING	Down	0	12	31	12477	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_HEME_METABOLISM	Down	0	12	189	12319	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_HYPOXIA	Down	0	12	186	12322	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_IL2_STAT5_SIGNALING	Down	1	11	189	12319	5.923225284	0.167719591	1	2.566382959
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	Down	0	12	84	12424	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_INFLAMMATORY_RESPONSE	Down	0	12	176	12332	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	Down	1	11	98	12410	11.50312471	0.090906534	1	3.523953903
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	Down	1	11	199	12309	5.621813858	0.175787193	1	2.491035686
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_KRAS_SIGNALING_DN	Down	0	12	113	12395	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_KRAS_SIGNALING_UP	Down	0	12	183	12325	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MITOTIC_SPINDLE	Down	0	12	199	12309	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MTORC1_SIGNALING	Down	0	12	195	12313	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MYC_TARGETS_V1	Down	0	12	195	12313	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MYC_TARGETS_V2	Down	0	12	57	12451	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_MYOGENESIS	Down	0	12	173	12335	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_NOTCH_SIGNALING	Down	0	12	32	12476	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Down	0	12	185	12323	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_P53_PATHWAY	Down	0	12	190	12318	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PANCREAS_BETA_CELLS	Down	0	12	18	12490	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PEROXISOME	Down	0	12	91	12417	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Down	1	11	98	12410	11.50312471	0.090906534	1	3.523953903
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_PROTEIN_SECRETION	Down	0	12	92	12416	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Down	0	12	48	12460	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_SPERMATOGENESIS	Down	0	12	85	12423	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_TGF_BETA_SIGNALING	Down	0	12	52	12456	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Down	0	12	190	12318	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Down	0	12	110	12398	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_UV_RESPONSE_DN	Down	0	12	140	12368	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_UV_RESPONSE_UP	Down	0	12	142	12366	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Down	0	12	39	12469	0	1	1	#NAME?
Acarbose_12m_female	Acarbose_12m_female	GSE131754	Acarbose	12m	female	Hallmark	HALLMARK_XENOBIOTIC_METABOLISM	Down	0	12	194	12314	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_ADIPOGENESIS	Up	1	39	195	12285	1.615288569	0.468549024	1	0.691791924
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_ALLOGRAFT_REJECTION	Up	0	40	185	12295	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_ANDROGEN_RESPONSE	Up	0	40	97	12383	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_ANGIOGENESIS	Up	0	40	35	12445	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_APICAL_JUNCTION	Up	1	39	175	12305	1.802749744	0.432877634	1	0.850199137
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_APICAL_SURFACE	Up	0	40	38	12442	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_APOPTOSIS	Up	1	39	154	12326	2.052107389	0.392911806	1	1.03710623
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_BILE_ACID_METABOLISM	Up	4	36	104	12376	13.20678444	0.000376802	0.018840106	3.723207339
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Up	0	40	75	12405	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_COAGULATION	Up	0	40	134	12346	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_COMPLEMENT	Up	0	40	186	12294	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_DNA_REPAIR	Up	0	40	149	12331	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_E2F_TARGETS	Up	1	39	198	12282	1.590424656	0.473707454	1	0.669412028
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Up	2	38	177	12303	3.657908669	0.111495962	0.762116257	1.871019054
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	Up	1	39	177	12303	1.782141201	0.43654728	1	0.833611647
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	Up	3	37	171	12309	5.834274655	0.017890316	0.298171941	2.544553304
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	Up	1	39	147	12333	2.15106602	0.378989496	1	1.105051804
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_G2M_CHECKPOINT	Up	0	40	197	12283	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_GLYCOLYSIS	Up	1	39	185	12295	1.703987647	0.450995733	1	0.768914877
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_HEDGEHOG_SIGNALING	Up	0	40	31	12449	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_HEME_METABOLISM	Up	2	38	187	12293	3.459228845	0.121938601	0.762116257	1.790450458
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_HYPOXIA	Up	1	39	185	12295	1.703987647	0.450995733	1	0.768914877
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_IL2_STAT5_SIGNALING	Up	1	39	189	12291	1.667382613	0.458083853	1	0.737585197
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	Up	0	40	84	12396	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_INFLAMMATORY_RESPONSE	Up	0	40	176	12304	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	Up	0	40	99	12381	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	Up	0	40	200	12280	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_KRAS_SIGNALING_DN	Up	1	39	112	12368	2.831046159	0.304573579	1	1.501335272
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_KRAS_SIGNALING_UP	Up	1	39	182	12298	1.732496437	0.445620403	1	0.792852386
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_MITOTIC_SPINDLE	Up	0	40	199	12281	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_MTORC1_SIGNALING	Up	1	39	194	12286	1.62374731	0.466818618	1	0.699327136
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_MYC_TARGETS_V1	Up	0	40	195	12285	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_MYC_TARGETS_V2	Up	0	40	57	12423	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_MYOGENESIS	Up	0	40	173	12307	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_NOTCH_SIGNALING	Up	0	40	32	12448	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Up	2	38	183	12297	3.535834811	0.117732012	0.762116257	1.822050876
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_P53_PATHWAY	Up	0	40	190	12290	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_PANCREAS_BETA_CELLS	Up	0	40	18	12462	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_PEROXISOME	Up	2	38	89	12391	7.324820551	0.034086881	0.426086013	2.872793416
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Up	0	40	99	12381	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_PROTEIN_SECRETION	Up	0	40	92	12388	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Up	0	40	48	12432	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_SPERMATOGENESIS	Up	0	40	85	12395	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_TGF_BETA_SIGNALING	Up	0	40	52	12428	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Up	0	40	190	12290	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Up	0	40	110	12370	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_UV_RESPONSE_DN	Up	0	40	140	12340	0	1	1	#NAME?
Acarbose_12m_male	Acarbose_12m_male	GSE131754	Acarbose	12m	male	Hallmark	HALLMARK_UV_RESPONSE_UP	Up	2	38	140	12340	4.637279735	0.075332382	0.753323821	2.213278757
